"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"775_203.16_5.455",0.12487,0.1199,0.11299,0.11502,0.12741
"776_613.48_10.698",0.10189,0.10128,0.094802,0.09011,0.085411
"777_359.212_6.14",0.16896,0.12623,0.14264,0.13567,0.1287
"778_719.415_3.905",0.065949,0.051871,0.076283,0.096181,0.09471
"779_271.228_7.087",0.11943,0.12558,0.11658,0.11323,0.11366
"780_271.229_7.109",0.10183,0.10794,0.10081,0.095768,0.091067
"781_715.42_6.802",0.10873,0.097073,0.090298,0.08578,0.081353
"782_427.24_6.031",0.042022,0.21306,0.22235,0.21243,0.23251
"783_205.177_5.926",0.14428,0.141,0.13087,0.12781,0.12996
"784_743.452_5.297",0.074974,0.06465,0.065782,0.062652,0.05967
"785_165.068_5.612",0.10367,0.09859,0.091547,0.087125,0.082567
"786_427.203_4.897",0.12082,0.094425,0.089555,0.085139,0.080849
"787_335.173_4.639",0.10129,0.10299,0.096444,0.091672,0.086903
"788_693.442_6.151",0.086057,0.069408,0.074257,0.070833,0.070348
"789_628.457_5.957",0.10043,0.10267,0.09583,0.091064,0.086623
"790_224.074_0.289",0.10614,0.11136,0.10402,0.098986,0.094917
"791_653.44_9.517",0.18891,0.15361,0.17713,0.1683,0.16076
"792_555.349_7.867",0.11296,0.091909,0.086002,0.082025,0.078685
"793_476.337_5.977",0.058397,0.043323,0.066626,0.06775,0.071928
"794_476.337_5.943",0.027702,0.076336,0.10691,0.10906,0.10985
"795_715.42_5.558",0.10732,0.095093,0.08826,0.084545,0.080823
"796_674.517_10.032",0.10453,0.098435,0.091361,0.086852,0.082324
"797_559.411_10.219",0.10365,0.10372,0.09692,0.092069,0.088236
"798_673.55_10.394",0.1038,0.098944,0.091836,0.087274,0.082757
"799_710.54_9.218",0.1122,0.094726,0.088425,0.084059,0.079685
"800_439.203_5.023",0.11524,0.095089,0.089146,0.084702,0.080273
"801_591.474_11.797",0.14444,0.12044,0.1137,0.11247,0.13884
"802_203.161_5.351",0.10207,0.10137,0.094343,0.089651,0.08512
"803_555.349_7.988",0.10118,0.098946,0.091974,0.087565,0.083004
"804_427.239_5.776",0.057115,0.047068,0.045512,0.043454,0.054126
"805_385.191_4.191",0.32189,0.23832,0.22728,0.33328,0.35863
"806_373.226_4.883",0.1254,0.092769,0.08891,0.085152,0.083301
"807_361.225_3.577",0.10204,0.10069,0.093686,0.089162,0.084497
"808_663.46_4.39",0.057365,0.086531,0.12734,0.12097,0.14714
"809_715.493_6.921",0.10514,0.088027,0.13475,0.14613,0.22503
"810_476.337_6.127",0.086122,0.2822,0.38508,0.36687,0.47403
"811_371.21_4.975",0.10067,0.10259,0.095931,0.091156,0.086472
"812_627.439_7.08",0.11982,0.11012,0.10324,0.098872,0.10314
"814_317.294_7.156",0.11085,0.097643,0.090633,0.086134,0.081789
"815_337.227_4.187",0.025748,0.080731,0.085513,0.081461,0.11549
"816_369.195_4.954",0.00091856,0.017994,0.050727,0.084387,0.093417
"817_677.44_4.165",0.1092,0.10491,0.098235,0.09336,0.091417
"818_346.264_5.619",0.33012,0.78403,0.74801,0.71125,0.7858
"819_271.228_5.177",0.4879,0.40619,0.38222,0.37431,0.35538
"820_371.211_5.214",0.11814,0.10955,0.1027,0.098182,0.10106
"821_341.199_5.277",0.84298,0.61996,0.82781,0.82884,0.92982
"822_341.199_3.803",0.19094,0.15094,0.16725,0.16895,0.17451
"823_381.195_5.554",0.092026,0.098518,0.12299,0.11774,0.11237
"824_525.426_10.881",0.11013,0.096497,0.089903,0.085402,0.081012
"825_473.313_7.074",0.10019,0.10261,0.095798,0.09106,0.086519
"826_743.452_5.888",0.12311,0.095627,0.092333,0.087819,0.083532
"827_253.18_5.687",0.10612,0.097934,0.090909,0.086404,0.081914
"828_319.216_4.72",1.8941,2.3429,2.47,2.352,2.2375
"829_466.325_6.281",0.21262,0.31177,0.32047,0.36013,0.35221
"830_369.231_6.428",0.0028663,0.14407,0.17696,0.1765,0.17627
"831_427.24_5.813",0.02777,0.051181,0.059588,0.056808,0.079459
"832_1035.646_4.286",0.1167,0.094769,0.089142,0.084702,0.080271
"833_747.411_3.445",0.12168,0.094731,0.090597,0.086062,0.081567
"834_771.412_4.137",0.11442,0.094508,0.088246,0.084052,0.079828
"835_1385.879_6.716",0.10633,0.098204,0.091255,0.086698,0.082472
"836_299.188_5.327",0.10899,0.097224,0.090624,0.08613,0.082019
"837_951.623_3.615",0.1024,0.098999,0.092043,0.087724,0.083167
"838_739.421_5.561",0.1154,0.096203,0.090521,0.085998,0.081604
"839_743.452_5.993",0.56501,0.60377,0.69808,0.66337,0.66569
"840_552.294_0.589",0.10623,0.098215,0.091254,0.086693,0.082448
"841_391.204_4.833",0.10783,0.097124,0.090233,0.085741,0.081283
"842_285.135_6.138",0.10702,0.097442,0.090487,0.085987,0.081516
"843_299.188_5.409",0.11154,0.08698,0.083567,0.07941,0.075505
"844_341.2_6.151",0.10821,0.098686,0.091616,0.087082,0.082674
"845_1265.832_5.862",0.10047,0.10026,0.093322,0.088865,0.084217
"846_405.22_4.897",0.10557,0.098048,0.091007,0.08649,0.081994
"847_1287.816_5.785",0.10408,0.098798,0.091698,0.087146,0.082629
"848_413.187_4.837",0.10435,0.098368,0.091309,0.086848,0.082305
"849_482.323_7.63",0.10794,0.096895,0.090032,0.085552,0.081082
"850_399.207_4.055",0.049335,0.19055,0.29698,0.39671,0.39703
"851_732.524_9.965",0.10307,0.099158,0.092062,0.087529,0.082967
"852_587.318_3.871",0.10714,0.097225,0.090267,0.085818,0.081331
"853_416.273_1.094",0.12236,0.094786,0.090718,0.086175,0.081672
"854_381.196_5.354",0.082839,0.075156,0.070286,0.066988,0.063575
"855_416.273_0.957",0.11217,0.095661,0.08939,0.084914,0.080491
"856_1013.619_5.788",0.10602,0.09721,0.090236,0.085792,0.081303
"857_668.53_9.591",0.10091,0.10046,0.093365,0.088757,0.084151
"858_341.199_3.974",0.20602,0.17746,0.18839,0.19251,0.19009
"859_540.331_6.353",0.09985,0.10068,0.093757,0.089255,0.084585
"860_301.204_5.994",0.26271,0.2124,0.23441,0.22268,0.22522
"861_413.187_3.675",0.10519,0.097098,0.090125,0.085684,0.081202
"862_748.519_9.016",0.10134,0.099933,0.092899,0.088384,0.083762
"863_739.421_5.86",0.10885,0.096499,0.089571,0.085725,0.081611
"864_739.421_5.85",0.11555,0.094226,0.087882,0.08393,0.080445
"865_519.475_10.286",0.099876,0.10067,0.093738,0.089238,0.084569
"866_353.21_6.056",0.11625,0.099583,0.094007,0.091081,0.087296
"867_781.526_9.189",0.10346,0.099116,0.092,0.087431,0.082908
"868_561.487_10.54",0.10031,0.10036,0.09343,0.088964,0.084311
"869_357.231_7.03",0.10085,0.10056,0.093433,0.088793,0.08423
"870_981.717_7.162",0.099953,0.10119,0.094065,0.089385,0.084817
"871_647.431_7.645",0.10263,0.099465,0.092355,0.087791,0.08323
"872_355.179_4.496",0.17515,0.12551,0.13093,0.12442,0.1181
"873_635.431_6.995",0.10001,0.10063,0.093623,0.08905,0.084395
"874_457.215_4.548",0.10314,0.097434,0.090454,0.086108,0.081659
"875_327.219_6.009",0.07573,0.26831,0.26001,0.2472,0.28741
"876_634.505_9.294",0.10374,0.097022,0.090052,0.085705,0.081282
"877_355.215_6.496",0.20978,0.15522,0.14443,0.17741,0.18653
"878_533.252_7.638",0.12834,0.15684,0.1463,0.13963,0.13464
"879_715.42_4.38",0.10898,0.094664,0.087913,0.083898,0.079827
"880_643.455_9.94",0.11598,0.093758,0.088153,0.083846,0.079581
"881_617.42_6.764",0.10489,0.099333,0.092308,0.088053,0.083576
"882_617.42_6.972",0.10913,0.097821,0.090796,0.086738,0.082508
"883_317.199_3.543",0.0065938,0.054192,0.050793,0.056826,0.062796
"884_657.413_7.688",0.10256,0.099751,0.092639,0.088091,0.083514
"885_333.197_2.22",0.10053,0.10074,0.093681,0.089095,0.084464
"886_345.23_3.175",0.14372,0.10808,0.10103,0.096808,0.091915
"887_351.243_4.88",0.10493,0.096112,0.089203,0.084946,0.08064
"888_703.455_5.145",0.10032,0.10314,0.096264,0.091486,0.08701
"889_637.445_10.031",0.14201,0.10162,0.10162,0.096893,0.094225
"890_697.409_5.719",0.16625,0.12399,0.1319,0.12604,0.12599
"892_843.507_5.941",0.16046,0.11507,0.15216,0.1587,0.16543
"893_353.199_6.292",0.14936,0.12303,0.11448,0.10895,0.10739
"894_633.415_5.465",0.11959,0.095495,0.091669,0.087319,0.083197
"895_297.173_3.829",0.089207,0.074105,0.072114,0.073538,0.070154
"896_739.421_5.584",0.11708,0.10537,0.097793,0.093119,0.088429
"897_287.224_5.317",0.017345,0.1558,0.14704,0.14101,0.19839
"898_482.323_6.159",0.10097,0.10044,0.093339,0.088728,0.084128
"899_341.2_6.126",0.1031,0.099893,0.092715,0.088081,0.083824
"900_656.42_4.695",0.13784,0.099284,0.1156,0.11604,0.1182
"901_603.44_8.314",0.10485,0.098699,0.091614,0.087033,0.082586
"902_315.183_3.632",0.083294,0.079911,0.076215,0.07409,0.073454
"903_663.46_9.049",0.18571,0.23634,0.21937,0.2111,0.20177
"904_315.22_6.609",0.17557,0.12548,0.12145,0.12513,0.12923
"905_400.239_3.712",0.10826,0.10552,0.098511,0.093701,0.092109
"906_349.191_2.973",0.084388,0.092458,0.086316,0.082289,0.077984
"907_333.232_4.88",0.10445,0.09645,0.089517,0.085238,0.080892
"908_371.174_2.662",0.19755,0.27254,0.25341,0.24208,0.22985
"909_305.236_3.532",0.11332,0.1003,0.09309,0.088582,0.084068
"910_471.325_6.607",1.7523,1.9377,1.9197,1.9283,1.8983
"911_317.294_6.603",0.81595,0.84195,0.81495,0.79844,0.76764
"912_694.543_10.71",0.59225,0.48796,0.47632,0.50128,0.52305
"913_1145.626_4.143",0.11081,0.095787,0.088915,0.085233,0.081321
"914_597.448_9.686",0.10239,0.099501,0.092421,0.087904,0.083308
"915_717.62_10.72",0.10442,0.098476,0.091398,0.086869,0.082336
"916_533.252_7.644",0.12542,0.15912,0.14798,0.1408,0.13547
"917_426.295_6.813",0.077963,0.07371,0.069652,0.066197,0.065022
"918_283.192_4.703",0.092583,0.090877,0.085733,0.082194,0.078282
"919_441.219_5.214",0.084699,0.083479,0.07875,0.074864,0.070949
"920_329.235_5.695",0.025876,0.16377,0.16233,0.15429,0.18769
"921_281.176_6.214",0.12028,0.093739,0.088696,0.084408,0.080286
"922_329.234_5.177",0.21737,0.15862,0.15307,0.14838,0.14068
"923_345.196_4.184",0.11126,0.11448,0.10778,0.10521,0.10014
"924_633.416_4.789",0.48,1.0635,0.98711,0.93769,0.90056
"925_969.101_4.789",0.12507,0.089599,0.083306,0.082219,0.092124
"926_301.204_6.253",0.39552,0.28775,0.26805,0.26225,0.2593
"927_387.206_4.426",0.043657,0.045362,0.042306,0.044063,0.058099
"928_969.101_4.832",0.72989,0.53597,0.50373,0.48362,0.45838
"929_945.704_6.685",0.066869,0.071663,0.0744,0.073545,0.071254
"930_413.223_5.709",0.11677,0.11996,0.11335,0.11234,0.10736
"931_397.339_5.502",0.10856,0.10134,0.094752,0.090377,0.091593
"932_657.414_7.827",0.08773,0.094605,0.088506,0.084411,0.080321
"933_347.211_3.904",0.056139,0.07657,0.071141,0.067698,0.064922
"934_331.217_6.961",0.088899,0.08766,0.084166,0.081888,0.077672
"935_413.223_5.553",0.062023,0.08168,0.076058,0.072847,0.069045
"936_383.211_4.845",0.09944,0.10513,0.10267,0.10298,0.098536
"937_413.223_5.382",0.055588,0.07782,0.072459,0.069511,0.065875
"938_689.44_4.493",0.074073,0.06353,0.075472,0.087132,0.084866
"939_600.498_10.259",0.089506,0.091599,0.08651,0.082717,0.078569
"940_331.18_3.78",0.070389,0.16462,0.1679,0.16074,0.15377
"941_315.184_3.893",0.14148,0.13985,0.13158,0.12658,0.12168
"942_355.179_4.124",0.025967,0.043593,0.04049,0.039756,0.042096
"943_538.421_7.19",0.085317,0.092288,0.086623,0.082979,0.07964
"944_371.175_4.081",0.06478,0.08007,0.075376,0.072518,0.068724
"945_358.218_3.475",0.089006,0.086316,0.08118,0.077259,0.073892
"946_219.119_3.315",0.11476,0.13205,0.12256,0.11667,0.11088
"947_583.415_8.564",0.082002,0.090566,0.084553,0.080619,0.076416
"948_325.203_5.09",0.11364,0.1544,0.14375,0.1368,0.13105
"949_315.22_6.089",0.076853,0.089562,0.083481,0.07962,0.07546
"950_364.274_4.312",0.080641,0.07102,0.067707,0.064357,0.063557
"951_510.389_6.354",1.5135,1.1984,1.4371,1.8491,1.779
"952_971.608_4.839",0.55995,0.41014,0.38132,0.38143,0.3635
"953_301.204_5.197",0.10476,0.11498,0.11838,0.11931,0.11326
"954_349.192_4.029",0.084367,0.08599,0.08214,0.079544,0.076016
"955_719.379_2.507",0.050517,0.060832,0.057877,0.056503,0.057017
"956_689.403_3.515",0.10104,0.13025,0.12156,0.11556,0.11116
"957_672.501_10.251",0.25745,0.37941,0.35348,0.3358,0.31837
"958_175.127_6.899",0.16805,0.19571,0.18333,0.18151,0.175
"959_363.208_4.191",0.17881,0.15369,0.14717,0.17396,0.17631
"960_387.206_3.909",0.43074,0.54342,0.55192,0.5318,0.55716
"961_319.215_4.554",0.58216,1.4011,1.3483,1.4153,1.3429
"962_703.384_3.79",0.25855,0.29934,0.39862,0.37921,0.40502
"963_303.219_6.392",0.14443,0.31823,0.43182,0.5185,0.52081
"964_633.416_4.62",0.11058,0.42826,0.53075,0.53586,0.64769
"965_315.184_4.768",0.1013,0.3265,0.30618,0.44275,0.46063
"966_383.211_5.331",1.1881,1.8062,2.1169,2.2542,2.4045
"967_687.419_4.586",0.11906,0.15262,0.14165,0.14261,0.13725
"968_315.184_3.335",0.059642,0.11147,0.10694,0.4433,0.47578
"969_689.404_3.334",0.16269,0.41886,0.39004,0.44005,0.4244
"970_633.416_4.524",2.3648,3.6015,3.3712,3.4332,3.331
"971_497.306_4.557",0.0091447,0.041061,0.11703,0.13758,0.15937
"972_615.405_4.62",0.065204,0.1882,0.27568,0.29262,0.36582
"973_355.179_5.196",0.21345,0.34723,0.38792,0.38232,0.39184
"974_283.192_6.734",0.59348,0.77821,0.83597,0.79525,0.79117
"975_357.194_3.971",0.051364,0.11836,0.19799,0.18812,0.18193
"976_355.179_4.993",0.23342,0.37688,0.358,0.37401,0.37286
"977_369.232_6.294",0.022393,0.045406,0.093868,0.10769,0.11055
"978_388.277_3.408",0.061315,0.15522,0.18984,0.19416,0.19226
"979_319.215_3.723",0.05167,0.1388,0.21691,0.23457,0.28182
"980_359.21_3.118",0.037094,0.03462,0.067512,0.078208,0.089121
"981_825.659_7.463",0.17787,0.13996,0.14455,0.17042,0.16869
"982_333.195_4.336",0.051657,0.10983,0.1485,0.14535,0.15101
"983_338.223_2.628",0.046717,0.057769,0.10892,0.1441,0.13946
"984_313.205_3.365",0.068466,0.14594,0.17836,0.18305,0.18638
"985_687.389_3.335",0.051498,0.11397,0.12094,0.12465,0.11822
"986_357.194_2.915",0.019575,0.038164,0.089,0.10214,0.11251
"987_374.261_0.965",0.063298,0.057097,0.062654,0.059541,0.057728
"988_320.211_2.618",0.028497,0.091388,0.12582,0.12638,0.13308
"989_281.176_4.62",0.091261,0.14446,0.16754,0.16989,0.19132
"990_361.228_5.337",0.11655,0.21152,0.36999,0.45401,0.51436
"991_151.087_5.581",0.030425,0.052843,0.25476,0.3278,0.39273
"992_349.191_3.79",0.47506,0.74619,0.7365,0.70122,0.66686
"993_381.196_6.107",0.057126,0.14268,0.14271,0.14038,0.13358
"994_269.212_6.312",0.0043868,0.10065,0.10449,0.099259,0.12492
"995_659.43_9.055",0.10553,0.12755,0.11838,0.11365,0.1088
"996_362.26_4.623",0.17225,0.25193,0.23404,0.22752,0.21889
"997_305.236_5.906",0.1079,0.45912,0.50252,0.49027,0.50681
"998_685.408_4.588",0.051048,0.13353,0.13811,0.13275,0.12581
"999_651.367_7.159",0.045045,0.033411,0.053737,0.058465,0.059781
"1000_392.272_4.762",0.16743,0.21992,0.20571,0.20004,0.19339
"1001_379.24_4.862",0.084346,0.084345,0.080679,0.077429,0.073741
"1002_360.206_2.627",0.020398,0.047943,0.073979,0.088501,0.084571
"1003_397.191_4.43",0.00018934,0.054193,0.11455,0.13429,0.16291
"1004_705.399_3.335",0.12523,0.15831,0.14786,0.14575,0.14183
"1005_719.452_4.163",0.14556,0.19989,0.19041,0.18336,0.18014
"1006_331.216_6.428",0.037639,0.02922,0.089561,0.1164,0.1306
"1007_337.167_5.535",0.018746,0.034556,0.049632,0.047533,0.04585
"1008_392.236_0.569",0.071144,0.061779,0.074356,0.08358,0.081647
"1009_361.189_1.627",0.0060425,0.023806,0.056316,0.057036,0.054052
"1010_374.262_2.073",0.092177,0.11759,0.11281,0.14377,0.15405
"1011_374.261_1.219",0.10367,0.12112,0.1129,0.11259,0.11088
"1012_361.228_4.978",0.059089,0.047462,0.065315,0.073568,0.077432
"1013_341.199_3.035",0.11444,0.13054,0.12116,0.11521,0.10953
"1014_387.243_4.983",0.22181,0.16196,0.1566,0.15048,0.14315
"1015_331.216_6.833",0.050544,0.040906,0.058497,0.057754,0.058065
"1016_723.41_2.743",0.02082,0.074108,0.14573,0.20592,0.20773
"1017_387.206_4.265",0.10749,0.095555,0.088788,0.084432,0.080095
"1018_347.248_4.979",0.15277,0.11131,0.1048,0.10067,0.095438
"1019_361.226_2.919",0.013946,0.086674,0.090684,0.08616,0.11441
"1020_315.184_4.586",0.11776,0.21838,0.22137,0.36283,0.3948
"1021_969.102_4.62",0.1526,0.27187,0.27166,0.26289,0.27923
"1022_372.245_2.694",0.0053334,0.040718,0.099369,0.11675,0.13767
"1023_399.207_5.062",0.085274,0.081706,0.080346,0.079694,0.075734
"1024_378.255_3.516",0.20857,0.28503,0.26943,0.2655,0.26045
"1025_403.216_3.261",0.0057025,0.076661,0.083647,0.079607,0.086732
"1026_707.414_3.186",0.082126,0.076059,0.078269,0.081102,0.07817
"1027_659.429_4.715",1.7825,1.7608,1.7807,1.6916,1.6612
"1028_335.211_2.044",0.38699,0.60482,0.5847,0.59507,0.59419
"1029_381.196_6.352",0.067639,0.058727,0.058761,0.055921,0.053372
"1030_383.211_4.792",0.024013,0.033226,0.40074,0.57931,0.67275
"1031_269.212_4.806",0.23743,0.30332,0.28191,0.27705,0.27078
"1032_672.501_10.183",0.45672,0.71504,0.67506,0.64505,0.61699
"1033_369.195_4.601",0.085729,0.16398,0.17371,0.35114,0.42698
"1034_388.277_3.387",0.18338,0.30461,0.3339,0.32808,0.34261
"1035_362.259_4.522",0.1434,0.17681,0.16483,0.15878,0.15325
"1036_271.228_7.642",2.1265,2.2156,2.146,2.0901,2.0442
"1037_1103.689_5.995",0.22405,0.17228,0.1878,0.1785,0.18618
"1038_721.47_5.999",0.16115,0.11517,0.11467,0.10995,0.11522
"1039_651.367_5.423",0.15492,0.11093,0.11117,0.10663,0.1046
"1040_627.46_10.416",0.11017,0.093058,0.086689,0.08261,0.078839
"1041_355.179_4.655",0.16506,0.11825,0.12271,0.11675,0.11084
"1042_687.461_6.599",0.11863,0.092586,0.087073,0.083202,0.080087
"1043_273.207_6.598",0.11486,0.092873,0.086977,0.082901,0.079317
"1044_717.437_5.753",0.11709,0.093461,0.088038,0.083766,0.079647
"1045_255.195_6.599",0.11837,0.092481,0.086944,0.08309,0.079996
"1046_317.2_3.071",0.13862,0.099454,0.097821,0.094148,0.094271
"1047_339.183_4.266",0.085221,0.067987,0.070402,0.078402,0.076829
"1048_401.222_3.151",0.10319,0.097378,0.090402,0.086068,0.081629
"1049_317.199_2.801",0.14944,0.1068,0.10316,0.10188,0.10966
"1050_401.223_2.504",0.10373,0.096965,0.090006,0.085706,0.081311
"1051_355.179_4.401",0.061061,0.1475,0.14079,0.13384,0.13227
"1052_661.411_6.757",0.10071,0.1005,0.09352,0.089001,0.084347
"1053_1343.805_6.452",0.12328,0.093673,0.088592,0.084807,0.08201
"1054_513.337_7.3",0.12778,0.09484,0.09126,0.08698,0.083901
"1055_717.437_4.634",0.1086,0.10016,0.09298,0.088355,0.083747
"1056_374.26_6.619",0.13181,0.1231,0.11581,0.1189,0.1156
"1057_635.43_6.609",0.1035,0.099214,0.092109,0.087586,0.083027
"1058_725.405_7.322",0.099936,0.10104,0.094002,0.089405,0.084755
"1059_653.418_8.191",0.10032,0.10084,0.093787,0.089197,0.08456
"1060_643.492_10.068",0.138,0.38965,0.37602,0.3573,0.40361
"1061_335.211_3.656",0.13741,0.17935,0.16657,0.15824,0.15001
"1062_389.186_2.361",0.021387,0.054361,0.13371,0.1854,0.18564
"1063_294.266_2.266",0.1012,0.10033,0.093361,0.088899,0.08425
"1064_657.45_10.011",0.13744,0.13846,0.13303,0.14054,0.13674
"1065_160.09_0.284",0.093074,0.11323,0.10519,0.10057,0.097537
"1066_701.514_12.065",0.099918,0.24901,0.27553,0.27724,0.26277
"1068_377.224_5.582",0.10674,0.10954,0.10288,0.09935,0.09433
"1069_335.211_3.96",0.12314,0.1063,0.10508,0.099815,0.10845
"1070_337.167_5.411",0.23771,0.20288,0.22964,0.21815,0.2087
"1071_713.405_6.186",0.10229,0.0988,0.091748,0.087264,0.082699
"1072_441.219_5.836",0.15692,0.11325,0.10774,0.10397,0.099957
"1073_447.23_4.973",0.1011,0.10227,0.095542,0.09135,0.086836
"1074_713.405_5.986",0.12889,0.096885,0.092614,0.088156,0.083683
"1075_341.295_7.303",0.10987,0.09609,0.089264,0.084976,0.080665
"1076_593.417_10.093",0.10983,0.09686,0.09008,0.08562,0.081168
"1077_345.196_5.583",0.13029,0.12534,0.11971,0.11907,0.11293
"1078_297.172_4.273",0.076878,0.089607,0.083525,0.079669,0.075507
"1079_579.437_10.196",0.098173,0.10144,0.095264,0.090734,0.086066
"1080_327.219_5.032",0.31236,0.3037,0.33363,0.31763,0.30558
"1081_424.316_7.448",0.59931,0.59076,0.58658,0.57422,0.60136
"1082_301.204_4.876",0.23057,0.28042,0.3006,0.28598,0.28191
"1083_343.214_4.834",1.0967,1.5802,1.4674,1.4394,1.4099
"1084_280.25_0.704",0.10492,0.098376,0.091306,0.086825,0.082283
"1085_325.203_5.954",0.1813,0.13924,0.13386,0.14402,0.2102
"1086_343.214_5.059",0.023136,0.19163,0.22603,0.22571,0.22145
"1087_374.26_0.407",0.62566,0.69329,0.73184,0.70674,0.70238
"1088_317.2_4.075",0.52968,0.6317,0.76909,0.73673,0.69832
"1089_743.452_6.011",0.18027,0.13396,0.13903,0.13283,0.12801
"1090_655.398_4.074",0.25104,0.22324,0.28304,0.27431,0.2635
"1091_339.183_4.395",0.48875,0.4857,0.57718,0.54868,0.52075
"1092_518.33_6.64",0.10427,0.10432,0.098097,0.094344,0.089512
"1093_401.223_4.292",0.11228,0.096254,0.089857,0.085373,0.080957
"1094_339.183_5.175",0.10813,0.10769,0.10007,0.096002,0.092401
"1095_327.219_6.154",1.0662,0.9351,2.1041,1.9988,2.2479
"1096_887.574_10.845",0.011297,0.14514,0.26614,0.56557,0.59505
"1097_282.266_7.142",0.12345,0.10472,0.097395,0.093278,0.091426
"1098_269.212_5.961",0.091287,0.067973,0.078833,0.075173,0.072373
"1099_325.203_7.082",0.17769,0.15098,0.15636,0.14894,0.15406
"1100_307.251_5.176",0.16662,0.11986,0.11346,0.10912,0.10358
"1101_348.28_5.176",0.15282,0.11246,0.10554,0.1013,0.096186
"1102_613.479_10.492",0.10535,0.10456,0.097816,0.092921,0.089193
"1103_321.231_3.729",0.34515,0.85739,0.81526,0.77495,0.84884
"1104_415.346_5.136",1.5359,2.0565,2.0768,2.1087,2.1673
"1105_303.22_7.079",0.12836,0.11562,0.1088,0.1054,0.11148
"1106_323.188_5.924",0.13189,0.11712,0.1107,0.10587,0.11617
"1107_599.464_9.79",0.12237,0.11063,0.10375,0.099573,0.10596
"1108_595.433_9.682",0.13391,0.11448,0.10816,0.1053,0.12301
"1109_339.183_4.621",2.1685,4.2092,3.9344,3.7996,3.6316
"1110_303.22_4.385",0.083686,0.06028,0.083553,0.082947,0.079182
"1111_595.435_10.078",0.19775,0.16927,0.17768,0.17559,0.23511
"1112_335.211_3.93",0.17497,0.13623,0.12965,0.1347,0.18829
"1113_751.515_4.979",0.16051,0.11558,0.10926,0.1052,0.099749
"1114_667.492_3.173",0.12996,0.10241,0.095445,0.091007,0.086393
"1115_305.235_3.175",0.12707,0.1025,0.095252,0.091005,0.086307
"1116_305.235_3.776",0.13841,0.10482,0.09787,0.093824,0.088929
"1117_601.48_9.567",0.097294,0.070133,0.065521,0.062512,0.0659
"1118_305.235_3.394",0.12711,0.10254,0.095317,0.091004,0.08634
"1119_287.223_3.682",0.10439,0.099756,0.092771,0.088396,0.083771
"1120_323.247_3.787",0.10108,0.10073,0.093847,0.089389,0.084719
"1121_429.331_7.246",0.10685,0.10844,0.10094,0.096035,0.092419
"1122_303.219_3.588",0.10459,0.099797,0.092783,0.088382,0.08376
"1123_343.214_4.274",0.25457,0.18509,0.17864,0.20496,0.34889
"1124_399.207_5.582",0.22478,0.18533,0.17968,0.20734,0.19997
"1125_355.179_3.851",0.23486,0.56623,0.54126,0.56952,0.54405
"1126_319.216_3.545",0.29951,0.21968,0.21921,0.23178,0.38814
"1127_355.179_2.814",0.08135,0.075332,0.077948,0.081737,0.077959
"1128_678.548_11.499",0.13924,0.10789,0.10353,0.11545,0.15166
"1129_362.26_3.75",0.063308,0.046127,0.048889,0.046591,0.055053
"1130_522.389_6.671",0.08742,0.10684,0.099384,0.094737,0.090709
"1131_269.212_5.008",0.12234,0.10505,0.097642,0.092757,0.088786
"1132_299.189_3.903",0.11272,0.096045,0.089537,0.08509,0.08068
"1133_373.19_4.638",0.10821,0.10887,0.10211,0.09769,0.092626
"1134_376.29_6.673",0.026651,0.035314,0.12442,0.1705,0.19892
"1135_345.196_5.784",0.35948,0.27352,0.28337,0.28104,0.31317
"1136_285.208_4.698",0.27765,0.20458,0.21211,0.20655,0.32213
"1137_341.199_3.551",0.166,0.13937,0.14072,0.13494,0.14739
"1138_377.224_5.784",0.17592,0.14888,0.14506,0.14028,0.14282
"1139_343.214_4.627",0.0144,0.35863,0.36563,0.35287,0.52527
"1140_627.438_5.441",0.12252,0.11823,0.1136,0.10943,0.106
"1141_659.429_3.536",0.16594,0.1333,0.12602,0.13021,0.17806
"1142_289.24_7.491",0.35215,0.3958,0.37901,0.3676,0.36222
"1143_473.313_5.429",0.13578,0.1177,0.11068,0.10711,0.12659
"1144_659.429_3.985",0.13693,0.11694,0.11091,0.10654,0.12377
"1145_396.198_5.784",0.13279,0.12007,0.11404,0.10864,0.10794
"1146_321.231_4.656",0.77061,1.7763,1.6814,1.6158,1.8949
"1147_975.739_7.403",0.51153,0.7702,0.72643,0.70489,0.68914
"1148_857.65_6.956",0.11673,0.10093,0.093687,0.089043,0.086215
"1149_339.183_3.255",0.13593,0.12195,0.11794,0.11228,0.11579
"1150_360.244_4.988",0.11363,0.10549,0.098931,0.094178,0.094869
"1151_663.46_4.288",0.1128,0.10638,0.099688,0.094874,0.094963
"1152_663.46_4.644",0.010242,0.1583,0.15804,0.15069,0.19622
"1153_595.448_7.337",0.13813,0.11863,0.11185,0.10952,0.1275
"1154_417.218_4.162",0.13396,0.12373,0.1176,0.11276,0.10966
"1155_305.233_5.593",1.0312,2.2866,2.173,2.0673,2.2711
"1156_413.335_4.322",0.11,0.10546,0.098745,0.093874,0.092414
"1157_361.228_5.188",0.10982,0.1055,0.098772,0.093899,0.092402
"1158_641.418_5.243",0.10706,0.10462,0.097862,0.092978,0.090294
"1159_313.168_5.784",0.11536,0.1114,0.10479,0.099837,0.095927
"1160_357.194_2.784",0.12368,0.10994,0.10343,0.099154,0.10694
