"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"143_559.13_7.787",0.12381,0.11946,0.11742,0.11348,0.11032
"144_123.089_5.045",0.16597,0.12239,0.13076,0.12455,0.12212
"145_485.284_4.162",0.35812,0.37685,0.40202,0.38225,0.37405
"146_655.398_6.13",0.27088,0.25387,0.28373,0.27021,0.26378
"147_315.184_3.874",1.173,1.2939,1.2507,1.1917,1.1362
"148_344.248_5.588",3.9976,3.4344,3.2437,3.0813,2.9364
"149_176.106_0.25",1.2595,0.91074,0.84529,0.83006,0.83162
"150_747.505_9.564",0.13523,0.14668,0.15187,0.14609,0.14795
"151_305.235_6.108",1.7827,2.3924,3.5946,3.5368,4.2988
"152_793.49_8.695",0.15492,0.14463,0.13862,0.13272,0.12825
"153_205.112_0.979",0.29725,0.3468,0.33112,0.31768,0.30251
"154_399.207_2.141",0.27649,0.2645,0.29105,0.27776,0.27383
"155_536.502_10.233",0.23698,0.36296,0.35261,0.34989,0.34204
"156_633.15_8.52",0.12213,0.12,0.11751,0.11414,0.1115
"157_317.294_6.541",1.2117,1.6484,1.6121,1.6088,1.601
"158_339.183_5.663",1.395,1.5533,1.6452,1.5882,1.5296
"159_361.228_5.995",0.97506,1.1519,1.281,1.2169,1.22
"160_287.224_7.543",3.6972,2.6661,2.6631,2.8243,2.7441
"161_761.502_5.37",0.11893,0.099615,0.092613,0.088333,0.084348
"162_715.42_6.718",0.27718,0.26518,0.29578,0.28105,0.26959
"163_322.194_5.585",0.80627,0.62204,1.3826,1.5907,1.8997
"164_669.378_4.501",0.10593,0.09924,0.092202,0.08792,0.083325
"165_318.289_4.701",0.23237,0.24584,0.24037,0.23796,0.24079
"166_512.332_6.086",0.37695,0.43505,0.40387,0.40063,0.39041
"167_728.57_9.238",0.15516,0.11167,0.10682,0.10152,0.09621
"168_317.2_4.103",0.60734,0.83176,0.90019,0.85874,0.85403
"169_655.398_4.622",0.93939,2.6859,2.7137,2.6327,2.8327
"170_498.319_5.73",0.12206,0.10634,0.098818,0.095347,0.095415
